course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Business is a popular choice for career development as it provides a very strong overview of key international business behaviours.,If you have never studied business before, you will be able to use your new-found knowledge to launch a career in business. We have seen many graduates who have continued working in areas related to their undergraduate studies but now have stronger business knowledge.,The Islamic Finance focus will give you the skills and understanding to work in a variety of conventional and Islamic businesses such as banks, insurance companies, financial service companies, and trading brokers.,You may also want to apply for roles in the finance arms of industries and commercial firms outside of the finance sector.,Islamic finance and banking is a growing area of business across the globe, and not solely linked to Muslim countries. Many Western banks and financial services are opening up to offering Islamic banking and finance products to customers.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Internationalisation Strategies (BU51014)
          ,
            International Business Strategy (BU51016)
          ,
            International Business Finance (BU51019)
          ,
            International Business Project (BU52020)
          ,
            Managing the Multinational Enterprise (BU52046)
          ,
            Islamic Capital Markets (BU51022)
          ,
            Islamic Moral Economy and Finance (BU52027)
          ,
            Islamic Commercial Law and Financial Transactions (BU52028)
          ,
            Risk Management in Islamic Banking and Finance (BU52029)
          ",,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            Internationalisation Strategies (BU51014)
          ,
            International Business Strategy (BU51016)
          ,
            International Business Finance (BU51019)
          ,
            Islamic Capital Markets (BU51022)
          ,
            Moving Up to Business (BU51033)
          ,
            International Business Project (BU52020)
          ,
            Islamic Moral Economy and Finance (BU52027)
          ,
            Managing the Multinational Enterprise (BU52046)
          ,
            Risk Management in Banking (BU51012)
          ,
            Global Financial Markets (BU51013)
          ,
            Financial Statements and Analysis (BU51029)
          ,
            Emerging Financial Markets and Investment (BU52012)
          ,
            Forecasting for Business and Finance (BU52023)
          ,
            Islamic Commercial Law and Financial Transactions (BU52028)
          ,
            Risk Management in Islamic Banking and Finance (BU52029)
          ,
            Investment Management (BU52043)
          ,
            Financial Regulation and Ethics (BU52048)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Business is a popular choice for career development as it provides a very strong overview of key international business behaviours.,If you have never studied business before, you will be able to use your new-found knowledge to launch a career in business. We have seen many graduates who have continued working in areas related to their undergraduate studies but now have stronger business knowledge.,Recent graduate roles include:, ",
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            Internationalisation Strategies (BU51014)
          ,
            International Business Strategy (BU51016)
          ,
            Human Resource Management Strategies (BU51018)
          ,
            Moving Up to Business (BU51033)
          ,
            International Business Project (BU52020)
          ,
            International Human Resource Management (BU52021)
          ,
            Behavioural Insights for Managers (BU52024)
          ,
            Managing the Multinational Enterprise (BU52046)
          ,
            Corporate Governance (BU51001)
          ,
            International Business Finance (BU51019)
          ,
            Strategic Decisions for Business (BU52019)
          ,
            Leadership and Decision Making (BU52033)
          ,
            Stakeholder Management and Business Ethics (BU52034)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Business is a popular choice for career development as it provides a very strong overview of key international business behaviours.,If you have never studied business before, you will be able to use your new-found knowledge to launch a career in business. We have seen many graduates who have continued working in areas related to their undergraduate studies but now have stronger business knowledge.,Human resource related roles also exist in every single organisation, regardless of the size and sector, and opportunities exist for you to become specialised in a particular area during your career.,Recent graduate roles include:",
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Business is a popular choice for career development as it provides a very strong overview of key international business behaviours.,If you have never studied business before, you will be able to use your new-found knowledge to launch a career in business. We have seen many graduates who have continued working in areas related to their undergraduate studies but now have stronger business knowledge.,Recent graduate roles include:",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            Internationalisation Strategies (BU51014)
          ,
            International Business Strategy (BU51016)
          ,
            International Business Finance (BU51019)
          ,
            Moving Up to Business (BU51033)
          ,
            International Business Project (BU52020)
          ,
            Managing the Multinational Enterprise (BU52046)
          ,
            Global Financial Markets (BU51013)
          ,
            Derivatives and Risk Management (BU51021)
          ,
            Financial Statements and Analysis (BU51029)
          ,
            Global Risk Analysis (BU52006)
          ,
            Emerging Financial Markets and Investment (BU52012)
          ,
            Business Analytics (BU52018)
          ,
            Forecasting for Business and Finance (BU52023)
          ,
            Investment Management (BU52043)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If you have never studied business before, you will be able to use your new-found knowledge to launch a career in business. We have seen many graduates who have continued working in areas related to their undergraduate studies but now have stronger business knowledge.,Choosing the entrepreneurship option indicates your interest in business start-up and also how employees can be more entrepreneurial.,Recent graduate roles include:",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            Internationalisation Strategies (BU51014)
          ,
            International Business Strategy (BU51016)
          ,
            International Business Finance (BU51019)
          ,
            Moving Up to Business (BU51033)
          ,
            International Business Project (BU52020)
          ,
            Practicing Entrepreneurship : Starting your business (BU52040)
          ,
            Understanding entrepreneurship in a Global Context (BU52041)
          ,
            Managing the Multinational Enterprise (BU52046)
          ,
            Technology Innovation Management (AC51005)
          ,
            Marketing as Creative Practice (BU51015)
          ,
            Customer Experience Design (BU51017)
          ,
            Human Resource Management Strategies (BU51018)
          ,
            Project Management Processes (BU52032)
          ,
            Brand Management and Strategy (BU52039)
          ",,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In the finance industry, many of our graduates work with large international banking and investment institutions, or with smaller firms in the UK and overseas. Many work for other commercial organisations including accountancy firms, management consultancy firms, manufacturing companies, and in the public sector.,We find some of our graduates have previous experience of these industries and are looking for a master's degree to develop their career further. Others are looking to move into a career in the sector for the first time.",
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In the finance industry, many of our graduates work with large international banking and investment institutions, or with smaller firms in the UK and overseas. Many work for other commercial organisations including accountancy firms, management consultancy firms, manufacturing companies, and in the public sector.,We find some of our graduates have previous experience of these industries and are looking for a master's degree to develop their career further. Others are looking to move into a career in the sector for the first time.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            International Banking Systems (BU51011)
          ,
            Risk Management in Banking (BU51012)
          ,
            Derivatives and Risk Management (BU51021)
          ,
            Global Risk Analysis (BU52006)
          ,
            Bank Modelling and Performance Analysis (BU52009)
          ,
            International Banking and Finance Project (BU52014)
          ,
            Financial Regulation and Ethics (BU52048)
          ,
            Corporate Governance (BU51001)
          ,
            Global Financial Markets (BU51013)
          ,
            International Business Finance (BU51019)
          ,
            Financial Statements and Analysis (BU51029)
          ,
            Emerging Financial Markets and Investment (BU52012)
          ,
            Quantitative Methods (BU52016)
          ,
            Econometrics for Finance (BU52017)
          ,
            Investment Management (BU52043)
          ,
            Venture Capital and Private Equity (BU52047)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            International Banking Systems (BU51011)
          ,
            Risk Management in Banking (BU51012)
          ,
            Financial Statements and Analysis (BU51029)
          ,
            Moving Up to Business (BU51033)
          ,
            Bank Modelling and Performance Analysis (BU52009)
          ,
            International Banking and Finance Project (BU52014)
          ,
            Investment Management (BU52043)
          ,
            Corporate Governance (BU51001)
          ,
            Global Financial Markets (BU51013)
          ,
            International Business Finance (BU51019)
          ,
            Derivatives and Risk Management (BU51021)
          ,
            Global Risk Analysis (BU52006)
          ,
            Emerging Financial Markets and Investment (BU52012)
          ,
            Quantitative Methods (BU52016)
          ,
            Econometrics for Finance (BU52017)
          ,
            Venture Capital and Private Equity (BU52047)
          ,
            Financial Regulation and Ethics (BU52048)
          ",,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            International Banking Systems (BU51011)
          ,
            Risk Management in Banking (BU51012)
          ,
            Global Financial Markets (BU51013)
          ,
            Moving Up to Business (BU51033)
          ,
            Global Risk Analysis (BU52006)
          ,
            Bank Modelling and Performance Analysis (BU52009)
          ,
            International Banking and Finance Project (BU52014)
          ,
            Corporate Governance (BU51001)
          ,
            International Business Finance (BU51019)
          ,
            Derivatives and Risk Management (BU51021)
          ,
            Financial Statements and Analysis (BU51029)
          ,
            Emerging Financial Markets and Investment (BU52012)
          ,
            Quantitative Methods (BU52016)
          ,
            Econometrics for Finance (BU52017)
          ,
            Investment Management (BU52043)
          ,
            Venture Capital and Private Equity (BU52047)
          ,
            Financial Regulation and Ethics (BU52048)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In the finance industry, many of our graduates work with large international banking and investment institutions, or with smaller firms in the UK and overseas. Many work for other commercial organisations including accountancy firms, management consultancy firms, manufacturing companies, and in the public sector.,We find some of our graduates have previous experience of these industries and are looking for a master's degree to develop their career further. Others are looking to move into a career in the sector for the first time.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            International Banking Systems (BU51011)
          ,
            Risk Management in Banking (BU51012)
          ,
            Global Financial Markets (BU51013)
          ,
            Moving Up to Business (BU51033)
          ,
            Global Risk Analysis (BU52006)
          ,
            Bank Modelling and Performance Analysis (BU52009)
          ,
            International Banking and Finance Project (BU52014)
          ,
            Corporate Governance (BU51001)
          ,
            International Business Finance (BU51019)
          ,
            Derivatives and Risk Management (BU51021)
          ,
            Financial Statements and Analysis (BU51029)
          ,
            Emerging Financial Markets and Investment (BU52012)
          ,
            Quantitative Methods (BU52016)
          ,
            Econometrics for Finance (BU52017)
          ,
            Investment Management (BU52043)
          ,
            Venture Capital and Private Equity (BU52047)
          ,
            Financial Regulation and Ethics (BU52048)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This course is designed for students who want to work in the financial industry. Some of our graduates have previous experience and are looking to develop their career further, while others are looking to move into the sector for the first time.,Many of our graduates work with large international banking and investment institutions, or with smaller firms in the UK and overseas. Many work for other commercial organisations, including accountancy firms, management consultancy firms, manufacturing companies, and in the public sector.",
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Specialist Management English for Business 1 (BU11006)
          ,
            Specialist Management English for Business 2 (BU12007)
          ,
            Dissertation (BU52010)
          ,
            Research Methods (BU52015)
          ,
            Corporate Governance (BU51001)
          ,
            International Banking Systems (BU51011)
          ,
            Global Financial Markets (BU51013)
          ,
            Derivatives and Risk Management (BU51021)
          ,
            Financial Statements and Analysis (BU51029)
          ,
            Contemporary Accounting Issues (BU52004)
          ,
            International Accounting and Financial Reporting (BU52005)
          ,
            Global Risk Analysis (BU52006)
          ,
            Emerging Financial Markets and Investment (BU52012)
          ,
            Strategic Management Accounting (BU52013)
          ,
            Quantitative Methods (BU52016)
          ,
            Econometrics for Finance (BU52017)
          ,
            Investment Management (BU52043)
          ,
            Corporate Social Reporting (BU52044)
          ,
            Venture Capital and Private Equity (BU52047)
          ,
            Financial Regulation and Ethics (BU52048)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many of our graduates are are employed by large multi-national firms. A number are with smaller UK firms including manufacturing companies and financial institutions. Some go on to work as managers and accountants in specialist positions, while others enter the public sector or run their own businesses.,Our graduates move into accountancy related firms of all sizes and into financial management related roles. Many enter wider management related roles and use their accounting/finance knowledge to progress within an organisation.,Graduate careers include:",
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You could go on to work in:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Downstream Energy Law and Policy (CP51002)
          ,
            Legal Framework for International Project Finance (CP52007)
          ,
            Dissertation (CP50003)
          ,
            Analytical Tools for Energy Economics (CP51003)
          ,
            Financial and Project Analysis of Natural Resources and Energy Ventures (CP51004)
          ,
            International Petroleum Law and Policy (CP51005)
          ,
            International Law of Natural Resources and Energy (CP51007)
          ,
            Petroleum Policy and Economics (CP51009)
          ,
            Internship Report (CP51013)
          ,
            National and Comparative Oil and Gas Law (CP51039)
          ,
            Energy and Climate Science, Policy and Litigation (CP51043)
          ,
            Just Transition to a Low-Carbon Economy (CP51044)
          ,
            Sustainability and the Just Transition for the Mining Sector (CP51045)
          ,
            Contemporary Issues in Energy Economics (CP52002)
          ,
            Transnational Environmental Law for Energy and Mining Sectors (CP52003)
          ,
            International Relations and Energy and Natural Resources (CP52008)
          ,
            Mineral and Petroleum Taxation (CP52009)
          ,
            Mining Law from a Global Perspective (CP52010)
          ,
            Mineral Resources Policy and Economics (CP52022)
          ,
            Oil and Gas Law - Commercial Contracts Matrix (CP52059)
          ,
            The Political Economy of Climate Change and Environment (CP52061)
          ,
            Transatlantic Negotiation Simulation Exercise (CP52064)
          ,
            International Energy Arbitration: Practical Exercises (CP52065)
          ,
            International Law: Transnational Legal Problems Facing Natural Resource Investments (CP52066)
          ,
            Electricity Policy and Economics (CP52071)
          ,
            Commodity Trading and Risk Management in Energy and Mining Industries (CP52073)
          ,
            Extractive Industry Revenue Management and Governance (CP52074)
          ,
            Principles of Sustainability (CP52075)
          ,
            Corporate Governance (LW51007)
          ,
            Environmental Regulation (LW51115)
          ,
            Legal Frameworks for water resource management (LW51145)
          ,
            International Investment Law (LW51146)
          ,
            Competition Law (LW52005)
          ,
            UN Human Rights Law (LW52022)
          ,
            International Taxation Law (LW52135)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to working closely with industry experts to produce graduates with the skills to meet industry standards and requirements, you can work in a number of areas including:,Covering many different roles including:, ",
,,,,,,,,,,,,,,," £ 21,950"," £ 8,750",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On completion of this course you will have developed the knowledge and skills to enable you to practice as a specialist within the field of infection prevention and control.,Our graduates work in a variety of clinical settings locally and internationally and continue to influence practice in many ways. Some of our graduates from developing countries have been able to revise current infection prevention and control practices, and implement new ones.",
,,,,,,,,,,,,,,," £ 12,100"," £ 5,100",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Software Development (AC51002)
          ,
            MSc Project (AC52010)
          ,
            Software Engineering (AC51003)
          ,
            Technology Innovation Management (AC51005)
          ,
            Database Systems (AC52001)
          ,
            Advanced Programming Techniques (AC52002)
          ,
            Human Computer Interaction (AC52013)
          ,
            Corporate Finance (BU51002)
          ,
            Operations Management and Change (BU51008)
          ,
            Business Accounting for Non-Specialists (BU51009)
          ,
            Marketing as Creative Practice (BU51015)
          ,
            International Business Strategy (BU51016)
          ,
            Customer Experience Design (BU51017)
          ,
            Human Resource Management Strategies (BU51018)
          ,
            Managing People and Organisations (BU51024)
          ,
            Marketing Management and Strategy (BU52008)
          ,
            Strategic Management Accounting (BU52013)
          ,
            International Human Resource Management (BU52021)
          ,
            Digital Marketing (BU52025)
          ,
            Strategic Management & Organisational Analysis (BU52031)
          ,
            Project Management Processes (BU52032)
          ",,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,6.0,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Microbiology and its Application to Practice (PN50116)
          ,
            Infection Prevention and Control in Practice (PN50128)
          ,
            Research for Practice (PN50143)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Microbiology and its Application to Practice (PN50116)
          ,
            Infection Prevention and Control in Practice (PN50128)
          ,
            Research for Practice (PN50143)
          ",,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On completion of this course you will have developed the knowledge and skills to enable you to practice as a specialist within the field of infection prevention and control.,Our graduates work in a variety of clinical settings locally and internationally and continue to influence practice in many ways. Some of our graduates from developing countries have been able to revise current infection prevention and control practices, and implement new ones.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On completion of this course you will have developed the knowledge and skills to enable you to practice as a specialist within the field of infection prevention and control.,Our graduates work in a variety of clinical settings locally and internationally and continue to influence practice in many ways. Some of our graduates from developing countries have been able to revise current infection prevention and control practices, and implement new ones.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Microbiology and its Application to Practice (PN50116)
          ,
            Infection Prevention and Control in Practice (PN50128)
          ,
            Research for Practice (PN50143)
          ,
            Dissertation (PN50146)
          ,
            Education for Practice (PN50144)
          ,
            Leadership and Change (PN50145)
          ",,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 6,050"," £ 2,550",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 2,180", £ 850,Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On completion of this course you will have developed the knowledge and skills to enable you to practice as a specialist within the field of infection prevention and control.,Our graduates work in a variety of clinical settings locally and internationally and continue to influence practice in many ways. Through successful completion of this course some of our graduates from developing countries have been able to revise current infection prevention and control practices, and implement new ones.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NB30052 - Microbiology and its Application to Practice,NB30053 - Infection Prevention and Control in Practice,NB30105 - Introduction to Research Based Practice,NB30130 - Work Based Skills and Innovative Practice (SCQF Level 9),NB40131 - Work Based Skills and Innovative Practice (SCQF Level 10),NB30104 Developing Academic Skills for Practice,NB40100 - Project Module",,
,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On completion of this course you will have developed the knowledge and skills to enable you to practice as a specialist within the field of infection prevention and control.,Our graduates work in a variety of clinical settings locally and internationally and continue to influence practice in many ways. Some of our graduates from developing countries have been able to revise current infection prevention and control practices, and implement new ones.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Microbiology and its Application to Practice (PN50116)
          ,
            Infection Prevention and Control in Practice (PN50128)
          ,
            Research for Practice (PN50143)
          ,
            Dissertation (PN50146)
          ,
            Education for Practice (PN50144)
          ,
            Leadership and Change (PN50145)
          ",,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to working closely with industry experts to produce graduates with the skills to meet industry standards and requirements, along with the multidisciplinary nature of the course, you can work in a wide range of positions including:",
,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Marketing as Creative Practice (BU51015)
          ,
            Moving Up to Business (BU51033)
          ,
            Strategic Management Accounting (BU52013)
          ,
            Project Management Processes (BU52032)
          ,
            Leadership and Decision Making (BU52033)
          ,
            Advanced Robotics (ME51013)
          ,
            Advanced Manufacturing (ME52005)
          ,
            Engineering Project and Report (Industrial Placement) (ME53001)
          ",,
,,,,,,,,,,,,,,," £ 21,950"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Corporate Finance (BU51002)
          ,
            International Business Finance (BU51019)
          ,
            Moving Up to Business (BU51033)
          ,
            Global Risk Analysis (BU52006)
          ,
            Forecasting for Business and Finance (BU52023)
          ,
            Advanced Robotics (ME51013)
          ,
            Advanced Manufacturing (ME52005)
          ,
            Engineering Project and Report (Industrial Placement) (ME53001)
          ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to working closely with industry experts to produce graduates with the skills to meet industry standards and requirements, along with the multidisciplinary nature of the course, you can work in a wide range of positions including:",
,,,,,,,,,,,,,,," £ 21,950"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"By studying postgraduate humanities modules you can gain a variety of enhanced study and research skills, which will be particularly useful for progression to further academic study, or in a range of professions including:",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities postgraduate modules,,
