course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Biomedical Engineering BEng (Hons),School of Science and Engineering,,https://www.dundee.ac.uk/undergraduate/biomedical-engineering,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On this course, you'll learn from engineers, scientists, and clinicians. This gives you a solid understanding of how engineering improves patient care.,You'll apply engineering principles to solve challenges in the healthcare industry. For example, you may develop surgical devices, make improvements to medical instrumentation or discover new techniques in medical imaging.,You'll gain valuable experience within a clinical environment. You'll also learn about anatomy and functions of the human body. This will help you to understand where and how the technologies you develop will be used.,You'll learn about design, optics, instrumentation, and medical sciences. You'll also develop research and business management skills within the biomedical industry.,In your final year, you'll focus on your research project which will relate to current research. You'll apply skills and knowledge acquired over the course of your degree. You'll also have the opportunity to shape your own degree with the choice of an elective module.",,,
Biochemistry BSc (Hons),,,https://www.dundee.ac.uk/undergraduate/biochemistry,4 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biochemistry is the study of life at the molecular level – from the normal functions of metabolism, DNA replication and repair, to the function of proteins carrying information within and between cells.,Knowing what happens in normal cells helps scientists understand why things go wrong, and what happens when they do.,This degree starts with a broad range of life science topics at Levels 1 and 2. You’ll then focus on more detailed aspects of biochemistry at Levels 3 and 4.,Your first two years of study will explore cell biology, biological organisation, molecular mechanisms and processes. You will also develop your practical skills, including laboratory skills, data analysis, and experiment design. This will prepare you for designing and carrying out projects later in your course.,Our course curriculum is shaped by the work of our world-leading researchers to make sure you’re learning the latest advances, as well as gaining an understanding of the fundamentals of the field.,Throughout your degree, you can pick modules that interest you and also transfer to one of our other courses if you choose the relevant modules.,Lab sessions throughout your degree will help you integrate knowledge and practical skills, as well as develop strong transferable skills, both in and out of the lab.,Mutual recognition of professional qualifications after Brexit is a priority for UK professional bodies and universities. If you plan on practising outside the UK you should check with the relevant national authority on the recognition of this qualification.",,,
Arts & Social Sciences MA,,,https://www.dundee.ac.uk/undergraduate/arts-social-sciences-ma,3 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This non-Honours (Ordinary) MA degree represents the finest Scottish tradition of extensive study over a wide range of subjects and disciplines.,You will be able to study modules in subjects that interest and challenge you.  You can choose from across the range of MA disciplines in both the humanities and social sciences.  Modules include:,We work hard to combine tradition with innovation. For example, you can study Romantic poetry but also contemporary poetry, European art cinema as well as Hollywood cinema, Shakespeare as well as science fiction, African history as well as Scottish history.,Unlike many similar courses in the UK there are no requirements to take core or compulsory modules for this course, or to take particular subjects or modules. This ensures you have the flexibility to tailor your degree to your needs.,You will be assigned an advisor of studies who will help you choose the combination of modules that best reflect your interest and ambitions.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You could go on to work in:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Downstream Energy Law and Policy (CP51002)
          ,
            Energy and Climate Science, Policy and Litigation (CP51043)
          ,
            Just Transition to a Low-Carbon Economy (CP51044)
          ,
            Legal Framework for International Project Finance (CP52007)
          ,
            Dissertation (CP50003)
          ,
            Analytical Tools for Energy Economics (CP51003)
          ,
            Financial and Project Analysis of Natural Resources and Energy Ventures (CP51004)
          ,
            International Petroleum Law and Policy (CP51005)
          ,
            International Law of Natural Resources and Energy (CP51007)
          ,
            Petroleum Policy and Economics (CP51009)
          ,
            Internship Report (CP51013)
          ,
            National and Comparative Oil and Gas Law (CP51039)
          ,
            Sustainability and the Just Transition for the Mining Sector (CP51045)
          ,
            Contemporary Issues in Energy Economics (CP52002)
          ,
            Transnational Environmental Law for Energy and Mining Sectors (CP52003)
          ,
            International Relations and Energy and Natural Resources (CP52008)
          ,
            Mineral and Petroleum Taxation (CP52009)
          ,
            Mining Law from a Global Perspective (CP52010)
          ,
            Mineral Resources Policy and Economics (CP52022)
          ,
            Oil and Gas Law - Commercial Contracts Matrix (CP52059)
          ,
            The Political Economy of Climate Change and Environment (CP52061)
          ,
            Transatlantic Negotiation Simulation Exercise (CP52064)
          ,
            International Energy Arbitration: Practical Exercises (CP52065)
          ,
            International Law: Transnational Legal Problems Facing Natural Resource Investments (CP52066)
          ,
            Electricity Policy and Economics (CP52071)
          ,
            Commodity Trading and Risk Management in Energy and Mining Industries (CP52073)
          ,
            Extractive Industry Revenue Management and Governance (CP52074)
          ,
            Principles of Sustainability (CP52075)
          ,
            Corporate Governance (LW51007)
          ,
            Environmental Regulation (LW51115)
          ,
            Legal Frameworks for water resource management (LW51145)
          ,
            International Investment Law (LW51146)
          ,
            Competition Law (LW52005)
          ,
            UN Human Rights Law (LW52022)
          ,
            International Taxation Law (LW52135)
          ",,
,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,," £ 18,150"," £ 1,820",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture with Urban Planning RIBA Part 2 MArch (Hons),School of Social Sciences,,https://www.dundee.ac.uk/undergraduate/architecture-urban-planning,Full Time,years,Dundee City Campus,Undergraduate,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Architecture RIBA Part 2 at Dundee is for students who have completed their RIBA Part 1 qualification, or equivalent, at another university.,You will study the essential principles of architecture and planning to develop the knowledge to shape the future of our towns and cities. You will gain skills in design, communications, history and theory, and sustainability.,As we share many resources with the University's art school, you will benefit from excellent facilities and workshops, a highly creative atmosphere, and our vibrant studio culture. Design tutorials and the majority of learning takes place in the architecture studio.,You’ll be encouraged to work in a ‘hands-on’ way developing and testing your ideas through manual and digital drawings, models and prototypes.,You’ll work in small studio groups and on a one-to-one basis with experienced tutors, who are often registered architects, providing a supportive learning environment.,You will have the opportunity to join study visits and exchanges. In recent years students have worked, studied or competed in Edinburgh, Hannover, London, Mainz, Paris, Shanghai, Sydney, Tongi, Venice, Vicenza and Wuhan.,By the time you graduate you’ll have a wide portfolio of work demonstrating the skills you'll need to work as an architect or planner in designing the successful places of the future.,Mutual recognition of professional qualifications after Brexit is a priority for UK professional bodies and universities. If you plan on practising outside the UK you should check with the relevant national authority on the recognition of this qualification.",,,
,,,,,,,,,,,,,,,,,,,,,5.5,5.5,6.0,5.5,6.0,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
